Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	optimal sign	varex kappa ratio	d_table_score_node20	classification	classification_tags
ICA_18	77.18747946622459	17.10743540086958	0.5383439592889917	0.0077711207172867	6570	4885	0.7671998757571051	0.6326552577763427	711	17.72214035818518	1.0963632416665434e-62	10.6	-1	1.056215788184362	5.8	accepted	Likely BOLD
ICA_19	62.23056058630613	16.67270028129303	0.3134751222094798	0.0053266715920553	5579	4206	0.7537397157816006	0.6331962255020566	569	15.576697037931256	7.786182557647853e-50	11.8	1	0.7628498010355337	7.0	accepted	Likely BOLD
ICA_20	38.25902448923504	17.63469031602928	61.77886366424622	0.5846646099071201	6957	3945	0.5706218886990118	0.2377992329057003	1080	-0.2871349384672855	0.7755223449185433	20.4	1	244.53762704131708	n/a	rejected	Unlikely BOLD
ICA_21	113.32195569292554	17.13185706373735	0.6592417874889591	0.0095126332375316	6869	5443	0.8027301728614883	0.6685025163802109	558	11.921918879125723	9.245347320986598e-31	7.0	-1	0.8809886990941797	4.4	accepted	Likely BOLD
ICA_22	150.45892325385188	18.679807190984725	1.7361301879743305	0.0212357762039286	7385	5986	0.8229828516772563	0.7121391186898531	473	6.986559393988418	5.708133278661343e-12	6.0	1	1.7474469873805691	3.0	accepted	Likely BOLD
ICA_23	101.47758068171916	17.889022138204787	0.5871251607460601	0.0071696809268201	6874	5337	0.8062151861624157	0.6936072182760606	544	11.738892171581728	5.8937228603355234e-30	7.4	-1	0.8761939650179199	4.6	accepted	Likely BOLD
ICA_24	24.808945496200582	29.39354232105222	0.8183176135221255	0.0111935417285049	4191	4124	0.5353547604608854	0.462260654725139	658	-1.8084813291955235	0.0708154254633254	26.8	-1	4.995204403440511	n/a	rejected	Unlikely BOLD
ICA_25	71.02213069737174	16.073967079200425	0.4836022863787395	0.0125307361684477	6733	4760	0.7544060425726711	0.5840237943488421	237	7.692539891567523	1.946419625082485e-13	11.4	1	1.0311796135296296	6.6	accepted	Likely BOLD
ICA_26	107.29392045272404	17.06227325396694	0.952557920694893	0.0120237888646842	6914	5023	0.781893603085656	0.6484968272131488	554	15.47898371661688	7.703601704997092e-49	6.1	-1	1.3444849598748374	n/a	rejected	Less likely BOLD
ICA_27	51.099245138602846	18.21866792663062	0.3633793052234979	0.0053003471002756	6450	4811	0.7709453050901043	0.6168590720975822	901	11.917056108039947	4.6740006201921165e-31	14.6	-1	1.0769247939060804	8.4	accepted	Likely BOLD
ICA_28	142.25697765751914	17.449135819151515	1.3756114829341837	0.0139544799740311	6711	5310	0.8009431809538298	0.7128215045445755	432	10.121477399951624	1.1981929153065465e-22	7.4	1	1.464407299511479	n/a	rejected	Less likely BOLD
ICA_29	26.39644816985675	25.681503540402133	0.6017474967933029	0.0047853057920936	4569	3244	0.6441183214858978	0.5259063326590945	991	4.662146954393453	3.7909904930280647e-06	24.4	1	3.4522995297137076	14.0	accepted	Likely BOLD
ICA_30	181.93374819641343	31.15423191188465	9.692047164345457	0.0762776571775884	5915	4411	0.727662233330358	0.637291280148423	75	2.9467396950904896	0.0041811914102923	11.8	1	8.06755476284347	n/a	accepted	manual reclassify,Less likely BOLD
ICA_31	20.621212688966818	21.512949149099924	0.3390790229728644	0.0054987858620909	3757	3789	0.5436841403227958	0.4939933993399339	988	-0.4488897302357155	0.653686782502432	28.6	-1	2.4901550630104023	n/a	rejected	Unlikely BOLD
ICA_32	26.417168674372917	13.009332170622164	0.2816599973555238	0.003972681095332	4266	2976	0.655431172345922	0.4989885367498314	1289	7.362750515382073	1.00028663250101e-11	24.8	-1	1.6146506503342606	n/a	accepted	Low variance
